unique,day,timepoint,Group,Height,Site,Input_D1,Input_D4,Population,Tag,Colour,Size,ID,heartrate,confidence,temperature,SD_hz
Group2_lower 2_23W_mSU_D4_T1,D4,T1,2,lower,lower 2,0,5,mSU,23,W,4.7,Group2_lower 2_23W_mSU,81.52866242,Good,21.7,0.499854172
Group2_lower 2_26W_mSU_D4_T1,D4,T1,2,lower,lower 2,3,0,mSU,26,W,6,Group2_lower 2_26W_mSU,67.53603294,Good,20.3,0.269056197
Group2_lower 2_29W_mSU_D4_T1,D4,T1,2,lower,lower 2,NA,4,mSU,29,W,4.5,Group2_lower 2_29W_mSU,61.88557615,Good,19.1,0.329329361
Group2_lower 2_30W_uRB_D4_T1,D4,T1,2,lower,lower 2,NA,3,uRB,30,W,6.5,Group2_lower 2_30W_uRB,54.52067242,Good,20,0.253947484
Group2_lower 3_16Y_uRB_D4_T1,D4,T1,2,lower,lower 3,NA,2,uRB,16,Y,6.2,Group2_lower 3_16Y_uRB,72.30837395,Good,20.6,0.226704757
Group2_lower 3_35Y_mSU_D4_T1,D4,T1,2,lower,lower 3,0,1,mSU,35,Y,4.9,Group2_lower 3_35Y_mSU,77.38650827,Good,22.4,0.062132979
Group2_lower 3_38Y_mSU_D4_T1,D4,T1,2,lower,lower 3,3,0,mSU,38,Y,5.2,Group2_lower 3_38Y_mSU,58.13148789,Discard,20.4,0.289712608
Group2_upper 1_30B_mSU_D4_T1,D4,T1,2,upper,upper 1,0,0,mSU,30,B,4.8,Group2_upper 1_30B_mSU,68.60772896,Good,17,0.1649573
Group2_upper 1_37B_mSU_D4_T1,D4,T1,2,upper,upper 1,NA,3,mSU,37,B,5.9,Group2_upper 1_37B_mSU,66.37856525,Good,17.4,0.120118562
Group2_upper 1_40B_uRB_D4_T1,D4,T1,2,upper,upper 1,NA,2,uRB,40,B,6.4,Group2_upper 1_40B_uRB,54.64480874,Good,17.3,0.270081428
Group2_upper 1_41B_mRB_D4_T1,D4,T1,2,upper,upper 1,NA,1,mRB,41,B,6.5,Group2_upper 1_41B_mRB,52.48713551,Good,17.1,0.034109702
Group2_upper 1_42B_mSU_D4_T1,D4,T1,2,upper,upper 1,NA,4,mSU,42,B,5.2,Group2_upper 1_42B_mSU,76.92956558,Good,17.4,0.135644344
Group2_upper 1_44B_mRB_D4_T1,D4,T1,2,upper,upper 1,NA,5,mRB,44,B,6.3,Group2_upper 1_44B_mRB,55.29010239,Good,17.8,0.09843461
